Partners,HabitatGroup,CTmax_B1,CTmax_B2,CTmax_B3,CTmax_B4,CTmax_B5,CTmax_B6,CTmax_B7,CTmax_B8,Average_CTmax,Notes
Briana & Jordyn,Tidepool,37,39,39,39,40,,,,38.80,
Briana & Jordyn,Emergent_Rock,38,38,40,40,40,40,,,39.33,
Briana & Jordyn,Tidepool,34,37,37,39,,,,,36.75,
Briana & Jordyn,Emergent_Rock,32,38,40,41,41,,,,38.40,
Briana & Jordyn,Tidepool,32,38,39,39,40,,,,37.60,
Briana & Jordyn,Emergent_Rock,39,40,40,40,,,,,39.75,
Chelsea & Nancy,Tidepool,,,,,,,,,#DIV/0!,
Chelsea & Nancy,Emergent_Rock,42,44,47,47,48,,,,45.60,
Chelsea & Nancy,Tidepool,41,42,47,,,,,,43.33,
Chelsea & Nancy,Emergent_Rock,46,48,48,,,,,,47.33,
Chelsea & Nancy,Tidepool,39,46,47,,,,,,44.00,
Chelsea & Nancy,Emergent_Rock,,,,,,,,,#DIV/0!,
Claire & Michael,Tidepool,34,34,35,35,36,,,,34.80,
Claire & Michael,Emergent_Rock,34,34,34,34,34,34,,,34.00,
Claire & Michael,Tidepool,34,34,,,,,,,34.00,
Claire & Michael,Emergent_Rock,35,35,36,,,,,,35.33,
Claire & Michael,Tidepool,,,,,,,,,#DIV/0!,
Claire & Michael,Emergent_Rock,,,,,,,,,#DIV/0!,
Ekjot & Yun,Tidepool,48,46,46,45,,,,,46.25,
Ekjot & Yun,Emergent_Rock,45,46,,,,,,,45.50,
Ekjot & Yun,Tidepool,36,37,38,38,,,,,37.25,
Ekjot & Yun,Emergent_Rock,38,39,,,,,,,38.50,
Ekjot & Yun,Tidepool,,,,,,,,,#DIV/0!,
Ekjot & Yun,Emergent_Rock,,,,,,,,,#DIV/0!,
Johanna & Melody,Tidepool,40,40,41,41,41,,,,40.60,
Johanna & Melody,Emergent_Rock,40,40,40,,,,,,40.00,
Johanna & Melody,Tidepool,43,45,46,47,,,,,45.25,
Johanna & Melody,Emergent_Rock,45,45,47,,,,,,45.67,
Johanna & Melody,Tidepool,,,,,,,,,#DIV/0!,
Johanna & Melody,Emergent_Rock,,,,,,,,,#DIV/0!,
Kate & Nick,Tidepool,38,41,41,,,,,,40.00,
Kate & Nick,Emergent_Rock,36,41,41,,,,,,39.33,Emergent=red
Kate & Nick,Tidepool,39,39,39,39,39,,,,39.00,
Kate & Nick,Emergent_Rock,35,37,39,39,,,,,37.50,
Kate & Nick,Tidepool,35,35,35,35,,,,,35.00,
Kate & Nick,Emergent_Rock,36,,,,,,,,36.00,
Katie & Yuri,Tidepool,38,38,38,38,40,40,,,38.67,
Katie & Yuri,Emergent_Rock,35,35,35,35,35,36,,,35.17,
Katie & Yuri,Tidepool,37,37,37,37,,,,,37.00,
Katie & Yuri,Emergent_Rock,37,38,38,38,,,,,37.75,
Kelly & Ivan,Tidepool,36,39,39,,,,,,38.00,
Kelly & Ivan,Emergent_Rock,40,40,40,,,,,,40.00,
Kelly & Ivan,Tidepool,38,38,40,40,,,,,39.00,
Kelly & Ivan,Emergent_Rock,37,40,40,,,,,,39.00,
Kelly & Ivan,Tidepool,37,39,41,,,,,,39.00,
Kelly & Ivan,Emergent_Rock,31,36,39,41,,,,,36.75,
Loic & Jamie,Tidepool,32,36,36,,,,,,34.67,
Loic & Jamie,Emergent_Rock,37,37,39,,,,,,37.67,
Loic & Jamie,Tidepool,32,37,37,37,,,,,35.75,
Loic & Jamie,Emergent_Rock,39,39,,,,,,,39.00,
Loic & Jamie,Tidepool,37,37,40,,,,,,38.00,
Loic & Jamie,Emergent_Rock,37,37,40,40,40,40,40,40,39.25,
Sadie & Michelle,Tidepool,30,36,36,37,,,,,34.75,
Sadie & Michelle,Emergent_Rock,34,37,37,,,,,,36.00,
Sadie & Michelle,Tidepool,33,34,36,37,,,,,35.00,
Sadie & Michelle,Emergent_Rock,36,37,37,38,,,,,37.00,
Sadie & Michelle,Tidepool,,,,,,,,,#DIV/0!,
Sadie & Michelle,Emergent_Rock,,,,,,,,,#DIV/0!,
Simran & Hayley,Tidepool,36,37,38,38,38,39,,,37.67,
Simran & Hayley,Emergent_Rock,40,41,41,,,,,,40.67,
Simran & Hayley,Tidepool,38,40,40,41,41,,,,40.00,
Simran & Hayley,Emergent_Rock,40,40,41,,,,,,40.33,
Simran & Hayley,Tidepool,39,40,40,40,41,41,,,40.17,
Simran & Hayley,Emergent_Rock,39,40,41,41,,,,,40.25,
"Tony, Gavin & Holly",Tidepool,34,36,39,40,40,41,,,38.33,
"Tony, Gavin & Holly",Emergent_Rock,34,36,38,40,,,,,37.00,
"Tony, Gavin & Holly",Tidepool,38,38,40,,,,,,38.67,
"Tony, Gavin & Holly",Emergent_Rock,40,40,40,,,,,,40.00,
"Tony, Gavin & Holly",Tidepool,37,38,40,40,,,,,38.75,
"Tony, Gavin & Holly",Emergent_Rock,37,38,38,,,,,,37.67,