substrate,date,daily_max_temperature
vexar,2008-07-21,23.15068493
vexar,2008-07-22,25.61643836
vexar,2008-07-23,25.75342466
vexar,2008-07-24,30
vexar,2008-07-25,28.90410959
vexar,2008-07-26,38.76712329
vexar,2008-07-26,35.61643836
vexar,2008-07-27,25.06849315
vexar,2008-07-28,21.36986301
vexar,2008-07-29,21.64383562
vexar,2008-07-30,18.21917808
vexar,2008-07-31,25.75342466
vexar,2008-08-01,21.09589041
vexar,2008-08-02,25.75342466
vexar,2008-08-02,30.82191781
vexar,2008-08-03,36.43835616
vexar,2008-08-03,39.8630137
vexar,2008-08-04,35.20547945
vexar,2008-08-05,39.17808219
vexar,2008-08-06,37.80821918
vexar,2008-08-07,41.91780822
vexar,2008-08-08,35.61643836
vexar,2008-08-09,25.06849315
vexar,2008-08-10,19.5890411
vexar,2008-08-11,27.53424658
vexar,2008-08-12,35.75342466
vexar,2008-08-12,38.49315068
vexar,2008-08-13,33.01369863
vexar,2008-08-14,36.02739726
vexar,2008-08-15,46.02739726
vexar,2008-08-16,40.1369863
vexar,2008-08-17,43.69863014
vexar,2008-08-18,44.79452055
vexar,2008-08-19,26.30136986
vexar,2008-08-20,26.30136986
vexar,2008-08-21,18.35616438
vexar,2008-08-22,31.09589041
vexar,2008-08-23,28.49315068
vexar,2008-08-24,24.93150685
vexar,2008-08-25,18.21917808
vexar,2008-08-26,29.5890411
vexar,2008-08-26,34.79452055
vexar,2008-08-27,23.28767123
vexar,2008-08-28,29.31506849
vexar,2008-08-29,16.57534247
vexar,2008-08-30,29.31506849
vexar,2008-08-31,34.38356164
vexar,2008-09-01,28.76712329
vexar,2008-09-02,28.90410959
vexar,2008-09-02,27.53424658
vexar,2008-09-03,28.08219178
vexar,2008-09-04,27.80821918
vexar,2008-09-05,28.76712329
vexar,2008-09-06,27.80821918
vexar,2008-09-07,20.2739726
vexar,2008-09-08,24.65753425
concrete,2008-07-21,23.42465753
concrete,2008-07-22,24.65753425
concrete,2008-07-23,25.75342466
concrete,2008-07-24,28.63013699
concrete,2008-07-25,44.79452055
concrete,2008-07-26,35.47945205
concrete,2008-07-27,28.21917808
concrete,2008-07-28,33.42465753
concrete,2008-07-29,28.76712329
concrete,2008-07-30,18.35616438
concrete,2008-07-31,24.79452055
concrete,2008-08-01,22.73972603
concrete,2008-08-02,26.71232877
concrete,2008-08-03,38.49315068
concrete,2008-08-04,35.61643836
concrete,2008-08-05,39.31506849
concrete,2008-08-06,37.94520548
concrete,2008-08-07,40.82191781
concrete,2008-08-08,36.71232877
concrete,2008-08-09,24.38356164
concrete,2008-08-10,24.52054795
concrete,2008-08-11,32.60273973
concrete,2008-08-12,35.89041096
concrete,2008-08-13,29.04109589
concrete,2008-08-14,36.16438356
concrete,2008-08-15,41.09589041
concrete,2008-08-16,36.30136986
concrete,2008-08-17,40
concrete,2008-08-18,41.64383562
concrete,2008-08-19,29.04109589
concrete,2008-08-20,26.43835616
concrete,2008-08-21,18.63013699
concrete,2008-08-22,33.42465753
concrete,2008-08-23,31.50684932
concrete,2008-08-24,27.53424658
concrete,2008-08-25,17.39726027
concrete,2008-08-26,29.5890411
concrete,2008-08-27,23.01369863
concrete,2008-08-28,31.91780822
concrete,2008-08-29,16.57534247
concrete,2008-08-30,29.04109589
concrete,2008-08-31,34.65753425
concrete,2008-09-01,28.08219178
concrete,2008-09-02,29.04109589
concrete,2008-09-03,28.21917808
concrete,2008-09-04,29.45205479
concrete,2008-09-05,29.5890411
concrete,2008-09-06,29.5890411
concrete,2008-09-07,20.82191781
concrete,2008-09-08,23.83561644